Field=#~Integer~#~50|Field=Comment~String~Comment~78|Field=Description~String~Description~78|Field=Designator~String~Designator~78|Field=Footprint~String~Footprint~78|Field=LibRef~String~LibRef~78|Field=Manufacturer 1~String~Manufacturer 1~81|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~81|Field=Quantity~Integer~Quantity~78|Field=Supplier~String~Supplier~78|Field=Supplier 1~String~Supplier 1~81|Field=Supplier Currency 1~String~Supplier Currency 1~129|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~72|Field=Supplier P/N~String~Supplier P/N~129|Field=Supplier Part Number 1~String~Supplier Part Number 1~179|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Generic_PCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Jim\Documents\owr_elec\Generic_PCB\Generic_PCB.PrjPcb|ReportField=Title~Bill of Materials For Project [Generic_PCB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~115|ReportField=ReportTime~3:46:09 PM|ReportField=ReportDate~29/04/2017|ReportField=ReportDateTime~29/04/2017 3:46:09 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~29/04/2017|ReportField=CurrentTime~3:39:40 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jim\Documents\owr_elec\Generic_PCB\webench_schematic_exchange_design_4446945_6_Altium\Altium\2017-02-03_03-50-16\2017-02-03_03-50-161.schdoc|ReportField=DocumentName~2017-02-03_03-50-161.schdoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~29/04/2017|ReportField=Organization~|ReportField=ProjectName~Generic_PCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Generic_PCB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Jim\Documents\owr_elec\Generic_PCB\Generic_PCB.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|1SMA24CAT3G|400 W Peak Power Zener Transient Voltage Suppressor, 2-Pin SMA, Pb-Free, Tape and Reel|D14, D15|ONSC-SMA-2-403D-02_F_V|1SMA24CAT3G|{URL}{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}{URL.TEXT}1SMA24CAT3G{URL.TIP}Manufacturer|2||Digi-Key|USD|2||{URL}{URL.TEXT}1SMA24CAT3GOSCT-ND{URL.TIP}Supplier|4170|0.98|0.49
12|0154003.DR|FUSE BOARD MNT 3A 125VAC/VDC SMD|F1|0154003.DR|0154003.DR|{URL}{URL.TEXT}Littelfuse{URL.TIP}Component|{URL}{URL.TEXT}0154003.DR{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}F1226CT-ND{URL.TIP}Supplier|11001|2.55|2.55
13|3587-15TR|FUSE HOLDER BLADE 20A SMD (SMT)|F2|3587-15TR|3587-15TR|{URL}{URL.TEXT}Keystone%20Electronics{URL.TIP}Component|{URL}{URL.TEXT}3587-15TR{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}36-3587-15TR-ND{URL.TIP}Supplier|500||
14|Header 5X2|Header, 5-Pin, Dual row|J1|HDR2X5|Header 5X2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
15|Header 2|Header, 2-Pin|JP1|HDR1X2|Header 2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
16|Bridge||JP10|Solder Joint|Solder Bridge|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
17|SRN8040-2R2Y|FIXED IND 2.2UH 6.3A 13 MOHM SMD|L1|SRN8040|SRN8040-2R2Y|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||Digikey||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
18|Header 20X2|Header, 20-Pin, Dual row|P1|HDR2X20|Header 20X2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
19|MPT|5.00 mm PowerStrip™/30 A Dual Blade Terminal Strip|P4|MPT|MPT|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
20|3 Pin Connector|CONN HDR XA 3POS 2.5MM TIN SMD|P5, P6, P7, P8, P9, P10, P11, P12|XA Connector|BM03B-XASS-TF(LF)(SN)|{URL}{URL.TEXT}Japan%20Solderless%20Terminals%20(JST){URL.TIP}Component|{URL}{URL.TEXT}BM03B-XASS-TF(LF)(SN){URL.TIP}Manufacturer|8||Digikey|USD|8||{URL}{URL.TEXT}455-2023-6-ND{URL.TIP}Supplier|8489|7.92|0.99
21|4 Pin Header|CONN HEADER PA 4POS TOP SMD|P17|PA CONNECTOR|BM04B-PASS-1-TFT(LF)(SN)|{URL}{URL.TEXT}Japan%20Solderless%20Terminals%20(JST){URL.TIP}Component|{URL}{URL.TEXT}BM04B-PASS-1-TFT(LF)(SN){URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}455-2639-1-ND{URL.TIP}Supplier|16342|0.78|0.78
22|Molex 0431600102|CONN HDR 2POS 7.50MM PCB SLDR|P19, P20, P21, P22, P23|Molex 0431600102|Molex 0431600102|{URL}{URL.TEXT}Molex{URL.TIP}Component|{URL}{URL.TEXT}0431600102{URL.TIP}Manufacturer|5||Digikey|USD|5||{URL}{URL.TEXT}WM18473-ND{URL.TIP}Supplier|3984|6.2|1.24
23|Header 3X2|Header, 3-Pin, Dual row|P27|HDR2X3|Header 3X2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
24|TLPR5600|LED RED DIFF ROUND T/H R/A|PWR, VIN|TLPR5600|TLPR5600|{URL}{URL.TEXT}Vishay%20%2F%20Semiconductors{URL.TIP}Component|{URL}{URL.TEXT}TLPR5600{URL.TIP}Manufacturer|2||Digikey|USD|2||{URL}{URL.TEXT}TLPR5600-ND{URL.TIP}Supplier|8286|1.06|0.53
25|0805 Resistor|0805 Thick Film Resistor 1%|R2, R4, R9, R14, R16, R28, R44, R45, R46, R48, R100, R101, R102, R103, R104, Rfbb, RL|0805 Resistor|0805 Thick Film Resistor 1%|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|17|Digikey|||||{URL}{URL.TEXT}{URL.TIP}Supplier|||
26|33.2K|RES SMD 33.2K OHM 1% 1/8W 0805|Rfbt|0805 Resistor|P33.2KCCT-ND|{URL}{URL.TEXT}Panasonic%20%2F%20Panasonic%20ECG{URL.TIP}Component|{URL}{URL.TEXT}ERJ-6ENF3322V{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}P33.2KCDKR-ND{URL.TIP}Supplier|47260|0.1|0.1
27|PMR100HZPFU5L00|RES SMD 0.005 OHM 1% 2W 2512|Rsense|PMR100HZPFU5L00|PMR100HZPFU5L00|{URL}{URL.TEXT}Rohm{URL.TIP}Component|{URL}{URL.TEXT}PMR100HZPFU5L00{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}RHM.005AUDKR-ND{URL.TIP}Supplier|19461|0.79|0.79
28|B3S-1000P|SWITCH TACTILE SPST-NO 0.05A 24V|SW1, SW6|B3S-1000P|B3S-1000P|{URL}{URL.TEXT}Omron{URL.TIP}Component|{URL}{URL.TEXT}B3S-1000{URL.TIP}Manufacturer|2||Digikey|USD|2||{URL}{URL.TEXT}SW415-ND{URL.TIP}Supplier|9142|1.4|0.7
29|TM4C123GH6PGE|TM4C123GH6PGE|U1|TM4C123GH6PGE|TM4C123GH6PGE|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}TM4C123GH6PGEI{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}296-35846-ND{URL.TIP}Supplier|2622|12.5|12.5
30|TLV2374IDR|550 uA/Ch, 3 MHz, RRIO Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 14-pin SOIC (D14), Green (RoHS & no Sb/Br)|U4, U10|TI-D14_N|TLV2374IDR|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}TLV2374IDR{URL.TIP}Manufacturer|2||Digi-Key|USD|2||{URL}{URL.TEXT}296-11967-1-ND{URL.TIP}Supplier|23484|3.82|1.91
31|REF3230AIDBVT|3.0 V, 4 ppm / degC, 100 uA Series (Bandgap) Voltage Reference, -40 to 125 degC, 6-pin SOT-23 (DBV), Green (RoHS & no Sb/Br)|U5|TI-DBV6_N|REF3230AIDBVT|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}REF3230AIDBVT{URL.TIP}Manufacturer|1||Digi-Key|USD|1||{URL}{URL.TEXT}296-18228-1-ND{URL.TIP}Supplier|1393|4.91|4.91
32|TPS563200DDCR|17 V Input, 3A Synchronous Step-Down Regulator in SOT-23 with Advanced Eco-mode? 6-SOT -40 to 85|U6|SOT95P280X110-6N|TPS563200DDCR|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}TPS563200DDCR{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}296-43663-1-ND{URL.TIP}Supplier|0|1.44|1.44
33|TMP20AIDCKR|Temp Sensor Analog(Voltage) 5-Pin SC-70 T/R|U7|TMP20AIDCKR|TMP20AIDCKR|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}TMP20AIDCKR{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}296-25569-1-ND{URL.TIP}Supplier|8995|1.23|1.23
34|INA138NA/250|36-V, High-Side, Current Output Current Shunt Monitor 5-SOT-23 -40 to 125|U8|SOT95P280X145-5N|INA138NA/250|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}INA138NA%2F250{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}INA138NADKR-ND{URL.TIP}Supplier|12338|2.05|2.05
35|SN65HVD233DR|3.3V CAN Transceiver with Standby Mode, Loop-back, 6 mA, -40 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)|U16|D8_L|SN65HVD233DR|{URL}{URL.TEXT}Texas%20Instruments%20(TI){URL.TIP}Component|{URL}{URL.TEXT}SN65HVD233DR{URL.TIP}Manufacturer|1||Digi-Key|USD|1||{URL}{URL.TEXT}296-35967-1-ND{URL.TIP}Supplier|20093|2.73|2.73
36|16MHz||Y2|NX5032GA|NX5032GA-16.000000MHZ|{URL}{URL.TEXT}Nihon%20Dempa%20Kogyo%20(NDK){URL.TIP}Component|{URL}{URL.TEXT}NX5032GA-16.000000MHZ-LN-CD-1{URL.TIP}Manufacturer|1||Digikey|USD|1||{URL}{URL.TEXT}644-1037-1-ND{URL.TIP}Supplier|46144|0.66|0.66
